18,mesías,eucaristía,dios,catástrofe,telequinesis,vudú,ovni,brotar,óptico,aurora,cirugía,peregrinar
19,santo,parroquia,eucaristía,ceguera,dragón,elfo,merlín,sedante,digestión,viruela,geometría,creyente
20,apóstol,crucificar,pastoral,circuito,ovni,espíritus,clarividente,geometría,parásitos,catástrofe,invención,pecar
21,avemaría,misa,edén,cirugía,abracadabra,área-51,rito,satélite,realista,parásitos,química,pastoral
22,evangelio,catecismo,jesucristo,contagio,varita,merlín,espiritista,anfibios,átomo,cálculo,fármaco,hostia
23,parroquia,evangelio,religión,crepúsculo,místico,rito,área-51,ceguera,elástico,química,dilatación,infierno
24,catequesis,hostia,catecismo,cálculo,ogro,ufología,sirena,circuito,nutrición,epidemia,ceguera,sagrado
25,mandamientos,obispo,peregrinar,digestión,vidente,aparición,tarot,viruela,aritmética,fisiología,sedante,jesuita
26,crucificar,santo,papa,dilatación,alien,teletransportar,poseído,astros,contagio,planetario,anatomía,teología
27,cristiano,pecar,fe,disolución,pegaso,astral,chakra,aritmética,ecología,realista,síntoma,santo
28,ángeles,amén,santo,ecología,zombi,varita,atrapasueños,planetario,cálculo,satélite,crepúsculo,adán
29,rosario,religión,católico,electrodos,telépata,zombi,varita,infección,modernismo,infección,modernismo,noé
30,plegaria,arcángel,teología,elástico,levitar,bruja,elfo,topografía,disolución,bacteria,absorber,vaticano
31,pesebre,resucitar,iglesia,enjambre,espiritista,mitología,médium,médica,anatomía,átomo,bacteria,pesebre
32,fe,edén,jerusalén,epidemia,astral,amuleto,fantasma,anticuerpo,extracción,absorber,aritmética,católico
33,bendecir,jerusalén,resucitar,extracción,teletransportar,ogro,chupacabras,formula,satélite,circuito,extracción,cura
34,adán,ángeles,cura,fiebre,poseído,hada,mago,investigar,planetario,biología,médica,fe
35,cuaresma,bendecir,convento,firmamento,abducido,espiritista,telépata,contagio,bacteria,dilatación,epidemia,avemaría
36,judas,infierno,ángeles,fisiología,monstruo,fantasma,hada,química,astros,ácido,oxidación,religión
37,aleluya,milagro,milagro,formula,amuleto,dragón,abracadabra,fiebre,invención,infarto,parásitos,salmo
38,pastoral,creyente,bendecir,fármaco,aura,alien,tarotista,oxidación,epidemia,modernismo,infarto,arcángel
39,milagro,fe,catedral,galaxia,chakra,talismán,karma,ángulo,fiebre,extracción,brotar,jesucristo
40,salmo,pastoral,avemaría,geometría,visiones,oráculo,chamán,bacteria,brotar,digestión,brisa,eclesiástico
41,comunión,apóstol,rosario,infarto,psíquica,chakra,amuleto,biología,sedante,ceguera,botánico,mandamientos
42,arcángel,mesías,noé,infección,merlín,poseído,místico,epidemia,anticuerpo,contagio,astros,evangelio
43,catedral,eva,hostia,invención,mitología,ouija,unicornio,óptico,atlas,óptico,fisiología,milagro
44,noé,cardenal,arcángel,investigar,maldición,médium,dragón,invención,infarto,oxidación,realista,obispo
45,eucaristía,jesucristo,salmo,matemático,extracorporal,psíquica,monstruo,cirugía,catástrofe,tumor,firmamento,monja
46,cardenal,judas,comunión,modernismo,atrapasueños,tarot,astral,fármaco,brisa,astros,infección,rosario
47,convento,evangelizar,crucificar,médica,chamán,unicornio,talismán,brisa,enjambre,formula,topografía,convento
48,edén,plegaria,mesías,nutrición,ocultismo,extrasensorial,levitar,nutrición,anfibios,anatomía,digestión,cuaresma
49,cura,iglesia,mandamientos,óptico,karma,adivina,oráculo,catástrofe,cirugía,anfibios,ángulo,evangelizar
50,jerusalén,dios,biblia,oxidación,oráculo,magia,aparición,enjambre,matemático,médica,anfibios,mesías
51,papa,biblia,judas,parásitos,aparición,monstruo,brujería,ácido,antídoto,brisa,anticuerpo,biblia
52,eclesiástico,pesebre,jesús,planetario,talismán,vampiro,vampiro,galaxia,firmamento,crepúsculo,satélite,amén
53,sagrado,rosario,misa,química,adivina,duende,vudú,matemático,viruela,fármaco,enjambre,misa
54,teología,monja,evangelizar,realista,extrasensorial,místico,ufología,crepúsculo,aurora,electrodos,cálculo,catequesis
55,resucitar,cristiano,vaticano,satélite,área-51,pegaso,telequinesis,aurora,formula,fiebre,nutrición,resucitar
56,eva,catedral,eclesiástico,sedante,rito,vidente,ouija,firmamento,fisiología,botánico,catástrofe,jerusalén
57,creyente,peregrinar,pesebre,síntoma,ouija,mago,maldición,parásitos,oxidación,síntoma,átomo,aleluya
58,infierno,cura,jesuita,topografía,chupacabras,extracorporal,visiones,absorber,biología,aritmética,ácido,crucificar
59,hostia,adán,infierno,tumor,tarotista,abducido,alien,electrodos,fármaco,nutrición,contagio,cristiano
60,peregrinar,jesuita,pecar,viruela,ufología,levitar,mitología,dilatación,química,topografía,elástico,bautizar
