18,mesías,eucaristía,dios,catástrofe,telequinesis,psíquica,ovni,brotar,óptico,visual,cirugía,peregrinar
19,santo,parroquia,eucaristía,ceguera,dragón,mitología,merlín,sedante,digestión,deglución,geometría,creyente
20,apóstol,crucificar,pastoral,circuito,ovni,área-51,clarividente,geometría,parásitos,insecto,invención,pecar
21,avemaría,misa,edén,cirugía,abracadabra,merlín,rito,satélite,realista,sensato,química,pastoral
22,evangelio,catecismo,jesucristo,contagio,varita,bruja,espiritista,anfibios,átomo,partícula,fármaco,hostia
23,parroquia,evangelio,religión,crepúsculo,místico,telépata,área-51,ceguera,elástico,flexible,dilatación,infierno
24,catequesis,hostia,catecismo,cálculo,ogro,zombi,sirena,circuito,nutrición,alimentación,ceguera,sagrado
25,mandamientos,obispo,peregrinar,digestión,vidente,aparición,tarot,viruela,aritmética,matemática,sedante,jesuita
26,crucificar,santo,papa,dilatación,alien,ufología,poseído,astros,contagio,transmisión,anatomía,teología
27,cristiano,pecar,fe,disolución,pegaso,unicornio,chakra,aritmética,ecología,ambientalista,síntoma,santo
28,ángeles,amén,santo,ecología,zombi,varita,atrapasueños,planetario,cálculo,cómputo,crepúsculo,adán
29,rosario,religión,católico,electrodos,telépata,aura,varita,infección,modernismo,contemporaneo,modernismo,noé
30,plegaria,arcángel,teología,elástico,levitar,astral,elfo,topografía,disolución,disolvente,absorber,vaticano
31,pesebre,resucitar,iglesia,enjambre,espiritista,vudú,médium,médica,anatomía,morfología,bacteria,pesebre
32,fe,edén,jerusalén,epidemia,astral,amuleto,fantasma,anticuerpo,extracción,extirpación,aritmética,católico
33,bendecir,jerusalén,resucitar,extracción,teletransportar,médium,chupacabras,formula,satélite,antena,extracción,cura
34,adán,ángeles,cura,fiebre,poseído,chamán,mago,investigar,planetario,globalizado,médica,fe
35,cuaresma,bendecir,convento,firmamento,abducido,teletransportar,telépata,contagio,bacteria,microbio,epidemia,avemaría
36,judas,infierno,ángeles,fisiología,monstruo,fantasma,hada,química,astros,estrella,oxidación,religión
37,aleluya,milagro,milagro,formula,amuleto,talismán,abracadabra,fiebre,invención,creación,parásitos,salmo
38,pastoral,creyente,bendecir,fármaco,aura,alien,tarotista,oxidación,epidemia,peste,infarto,arcángel
39,milagro,fe,catedral,galaxia,chakra,extracorporal,karma,ángulo,fiebre,temperatura,brotar,jesucristo
40,salmo,pastoral,avemaría,geometría,visiones,oráculo,chamán,bacteria,brotar,germinar,brisa,eclesiástico
41,comunión,apóstol,rosario,infarto,psíquica,chakra,amuleto,biología,sedante,calmante,botánico,mandamientos
42,arcángel,mesías,noé,infección,merlín,poseído,místico,epidemia,anticuerpo,inmune,astros,evangelio
43,catedral,eva,hostia,invención,mitología,pegaso,unicornio,óptico,atlas,mapa,fisiología,milagro
44,noé,cardenal,arcángel,investigar,maldición,espiritista,dragón,invención,infarto,embolia,realista,obispo
45,eucaristía,jesucristo,salmo,matemático,extracorporal,telequinesis,monstruo,cirugía,catástrofe,desastre,firmamento,monja
46,cardenal,judas,comunión,modernismo,atrapasueños,tarot,astral,fármaco,brisa,viento,infección,rosario
47,convento,evangelizar,crucificar,médica,chamán,espíritus,talismán,brisa,enjambre,colmena,topografía,convento
48,edén,plegaria,mesías,nutrición,ocultismo,extrasensorial,levitar,nutrición,anfibios,batracio,digestión,cuaresma
49,cura,iglesia,mandamientos,óptico,karma,adivina,oráculo,catástrofe,cirugía,operación,ángulo,evangelizar
50,jerusalén,dios,biblia,oxidación,oráculo,magia,aparición,enjambre,matemático,cálculo,anfibios,mesías
51,papa,biblia,judas,parásitos,aparición,monstruo,brujería,ácido,antídoto,remedio,anticuerpo,biblia
52,eclesiástico,pesebre,jesús,planetario,talismán,vampiro,vampiro,galaxia,firmamento,celestial,satélite,amén
53,sagrado,rosario,misa,química,adivina,duende,vudú,matemático,viruela,sarampión,enjambre,misa
54,teología,monja,evangelizar,realista,extrasensorial,místico,ufología,crepúsculo,aurora,alba,cálculo,catequesis
55,resucitar,cristiano,vaticano,satélite,área-51,abducido,telequinesis,aurora,formula,método,nutrición,resucitar
56,eva,catedral,eclesiástico,sedante,rito,vidente,ouija,firmamento,fisiología,anatomía,catástrofe,jerusalén
57,creyente,peregrinar,pesebre,síntoma,ouija,mago,maldición,parásitos,oxidación,corrosión,átomo,aleluya
58,infierno,cura,jesuita,topografía,chupacabras,dragón,visiones,absorber,biología,anatomía,ácido,crucificar
59,hostia,adán,infierno,tumor,tarotista,ouija,alien,electrodos,fármaco,medicina,contagio,cristiano
60,peregrinar,jesuita,pecar,viruela,ufología,levitar,mitología,dilatación,química,farmacia,elástico,bautizar
